constructorId,year,diffPCT,Z_Score,robustZ,color,edgecolor,rankPCT,rankZScore,rankRobustZ
mercedes,2022,0.7864907515430682,-0.7615205746280675,-0.6499932514704112,cyan,black,284,237,271
mclaren,2002,0.7788964092149184,-0.8018186799207526,-1.029165888408098,orange,darkorange,283,217,128
honda,1968,0.775337227105368,-0.6257027559767058,-0.4424079175061538,gray,black,282,294,354
aston-martin,2024,0.7710431296903514,-0.2849938380453141,-0.23298831162205827,darkgreen,darkolivegreen,281,429,421
bmw-sauber,2006,0.7616301254631521,-0.4701853673482694,-0.262077568089145,gray,black,280,366,410
force-india,2012,0.7483949136319118,-0.5381565243814971,-0.19245343364326417,green,orange,279,330,438
benetton,1987,0.7450731951995451,-0.9058684025471548,-0.7409937838081818,green,blue,278,178,226
lotus,1970,0.727833902277774,-0.6269950122800716,-0.9635582278237075,gold,black,277,293,145
brm,1959,0.7226893549999533,-0.6237468000053497,-0.632335087009308,gray,black,276,295,279
mclaren,2009,0.7140965628009437,-0.5183881389754459,-0.5590373862328537,orange,darkorange,275,338,311
ferrari,1981,0.7082473854516672,-0.891307982329705,-0.7288800752899915,red,red,274,182,229
brabham,1973,0.707031597052819,-0.6435794439415582,-0.6070416835289357,silver,darkslategray,273,287,290
shadow,1974,0.7047469867764977,-0.6054814895929778,-0.6530830092845119,gray,black,272,302,270
brabham,1976,0.7029019658653459,-0.4855380871742869,-0.35153759464923906,silver,darkslategray,271,357,386
alphatauri,2021,0.6941761247645508,-0.5752180167383536,-0.6385065529737854,white,midnightblue,270,320,275
williams,1998,0.6823748334050639,-0.8549070477851918,-0.7355229600529055,white,navy,269,192,227
mclaren,1978,0.6809106398000015,-0.7885849990291353,-0.653894152380706,orange,darkorange,268,226,268
ferrari,1967,0.6778082228602724,-0.7353784309650296,-0.6371241605995608,red,red,267,247,277
red-bull,2008,0.6673323180515102,-0.3574000695061381,-0.11198727287161808,darkblue,red,266,405,474
bmw-sauber,2009,0.6622535725301051,-0.17256198767049757,-0.10232212759861661,gray,black,265,491,479
mclaren,1986,0.6576680545920602,-1.0614389796029293,-0.9314171156126388,orange,darkorange,264,121,155
brm,1966,0.6561727606977107,-0.6976583785534747,-0.6170872905849701,gray,black,263,265,286
brabham,1965,0.6491836039972619,-0.8461997043637408,-0.750536286280329,silver,darkslategray,262,198,224
ferrari,1994,0.6488791627966712,-0.9609924321982882,-1.1946968323337641,red,red,261,166,72
red-bull,2015,0.6439750152434429,-0.4895536086602448,-0.5048971136197162,darkblue,red,260,354,331
wolf,1978,0.6430529914061076,-0.7910581480418843,-0.5495930680001301,gray,black,259,222,314
vanwall,1956,0.6415385866993608,-0.861956186739538,-0.6744907594765952,gray,black,258,190,255
red-bull,2017,0.6362293320261285,-0.9852329928209658,-0.8860861882792341,darkblue,red,257,152,178
ligier,1976,0.6360591681247068,-0.5138583898168045,-0.4584349901796994,white,cyan,256,341,347
mclaren,1985,0.6285926860106551,-0.8079514069943513,-0.9248595686317558,orange,darkorange,255,215,159
mclaren,2014,0.6144766600687359,-0.5478562217733296,-0.38302339516977263,orange,darkorange,254,328,376
williams,2005,0.6102114920811867,-0.4218214142926763,-0.32298375920210093,white,navy,253,383,395
williams,2012,0.6059388419172763,-0.5895980474235805,-0.3975954185312384,white,navy,252,314,370
renault,2009,0.6030690043062243,-0.31326312066654577,-0.12507113420758056,yellow,black,251,420,467
williams,1990,0.5956479706962274,-1.1984621065108196,-1.2037678493418447,white,navy,250,67,69
mclaren,2005,0.5945093731025544,-0.7897784232878545,-1.0758207719442605,orange,darkorange,249,225,110
ferrari,1995,0.5942291494344918,-0.9645689500177494,-0.7995367991548403,red,red,248,162,208
benetton,1996,0.5937521147656206,-0.8317398251540857,-0.8022594176985562,green,blue,247,209,206
renault,2008,0.5694948261123807,-0.46798960852797805,-0.23361725425901458,yellow,black,246,368,420
racing-point,2020,0.5643406009810127,-0.569749199071997,-0.5062763569921175,navy,pink,245,322,330
williams,2014,0.5611510949376299,-0.8179078175447744,-0.8201112134559675,white,navy,244,211,200
wolf,1977,0.5576633037408045,-0.7957247720764449,-0.6415887712094442,gray,black,243,220,273
jordan,1997,0.5535035118146192,-0.6373599177729452,-0.5087294259598193,yellow,black,242,292,328
bar,2005,0.5515882719475731,-0.5549070211414486,-0.6875974558490852,gray,black,241,326,248
aston-martin,2023,0.5456266168435828,-0.5226244716938292,-0.48192118168813564,darkgreen,darkolivegreen,240,336,339
brabham,1979,0.5446800588221994,-0.7495181501065066,-0.808851468535678,silver,darkslategray,239,243,204
red-bull,2018,0.5374043017464295,-1.0475991958693416,-1.1280681691594625,darkblue,red,238,128,95
stewart,1999,0.5369585488142036,-0.6933138301141345,-0.6715162064629683,gray,black,237,267,262
brabham,1969,0.5248754944665878,-0.7247789909078809,-0.6744907594765952,silver,darkslategray,236,252,257
benetton,1997,0.5227231792765077,-0.6526916749817364,-0.522755543779693,green,blue,235,283,325
brabham,1963,0.5063071016257754,-0.8892581506271646,-0.7787598623908515,silver,darkslategray,234,183,214
